"fecha_hora","PM10","PM2_5","PM1_0"
2025-06-19 12:44:19,0.4,0.1,0
2025-06-19 12:45:19,0.1,0.1,0
2025-06-19 12:46:19,0.2,0.1,0.1
2025-06-19 12:47:19,0.3,0.1,0
2025-06-19 12:48:19,0.3,0.1,0.1
2025-06-19 12:49:19,0.6,0.2,0.1
2025-06-19 12:50:19,0.4,0.2,0.2
2025-06-19 12:51:19,1.1,0.4,0.2
2025-06-19 12:52:19,1.7,0.5,0.2
2025-06-19 12:53:19,7,1.7,0.5
2025-06-19 12:54:19,4,0.9,0.4
2025-06-19 12:55:19,3.1,0.6,0.3
2025-06-19 12:56:19,1.4,0.6,0.3
2025-06-19 12:57:19,3.3,0.9,0.3
2025-06-19 12:58:19,2.2,0.7,0.2
2025-06-19 12:59:19,0.5,0.3,0.2
2025-06-19 13:00:19,0.6,0.3,0.2
2025-06-19 13:01:19,0.2,0.1,0.1
2025-06-19 13:02:19,0.1,0.1,0.1
2025-06-19 13:03:19,0.4,0.2,0.1
2025-06-19 13:04:19,0.3,0.2,0.1
2025-06-19 13:05:19,3.5,0.8,0.2
2025-06-19 13:06:19,2.6,0.9,0.5
2025-06-19 13:07:19,3.3,0.7,0.3
2025-06-19 13:08:19,2,0.7,0.3
2025-06-19 13:09:19,2.1,0.7,0.3
2025-06-19 13:10:19,1.9,0.7,0.5
2025-06-19 13:11:19,0.6,0.2,0.1
2025-06-19 13:12:19,0.5,0.1,0.1
2025-06-19 13:13:19,1.7,0.4,0.2
2025-06-19 13:14:19,2.2,0.7,0.3
2025-06-19 13:15:19,3.3,1.3,1
2025-06-19 13:16:19,3.1,1.5,1
2025-06-19 13:17:19,1.9,0.7,0.6
2025-06-19 13:18:19,1.7,0.9,0.6
2025-06-19 13:19:19,1,0.6,0.5
2025-06-19 13:20:19,2,0.8,0.6
2025-06-19 13:21:19,3.4,1,0.6
2025-06-19 13:22:19,2,0.8,0.6
2025-06-19 13:23:19,1.1,0.5,0.3
2025-06-19 13:24:19,1.8,0.5,0.3
2025-06-19 13:25:19,0.1,0.1,0.1
2025-06-19 13:26:19,3.1,0.6,0.2
2025-06-19 13:27:19,1.7,0.5,0.3
2025-06-19 13:28:19,2.2,0.5,0.3
2025-06-19 13:29:19,1.1,0.4,0.2
2025-06-19 13:30:19,0.8,0.3,0.2
2025-06-19 13:31:19,0.6,0.3,0.1
2025-06-19 13:32:19,0.1,0.1,0.1
2025-06-19 13:33:19,0.8,0.3,0.2
2025-06-19 13:34:19,2.2,0.8,0.5
2025-06-19 13:35:19,0.9,0.3,0.1
2025-06-19 13:36:19,0.3,0.1,0.1
2025-06-19 13:37:19,0.5,0.2,0.1
2025-06-19 13:38:19,1.1,0.3,0.1
2025-06-19 13:39:19,3.1,0.6,0.2
