"bloque_tiempo","CETAM_n","CETAM_PM1_0","CETAM_PM2_5","CETAM_PM10"
2025-06-19 12:45:00,5,0.06,0.12,0.3
2025-06-19 12:50:00,5,0.3,0.74,2.84
2025-06-19 12:55:00,5,0.26,0.62,2.1
2025-06-19 13:00:00,5,0.12,0.18,0.32
2025-06-19 13:05:00,5,0.32,0.76,2.7
2025-06-19 13:10:00,5,0.24,0.42,1.38
2025-06-19 13:15:00,5,0.74,1,2.2
2025-06-19 13:20:00,5,0.48,0.72,2.06
2025-06-19 13:25:00,5,0.22,0.42,1.64
2025-06-19 13:30:00,5,0.22,0.36,0.9
2025-06-19 13:35:00,5,0.12,0.3,1.18
2025-06-19 13:40:00,5,0.16,0.38,1.32
2025-06-19 13:45:00,5,0.02,0.1,0.4
2025-06-19 13:50:00,5,0.14,0.3,0.94
2025-06-19 13:55:00,5,0.18,0.54,2
2025-06-19 14:00:00,5,0.14,0.34,0.96
2025-06-19 14:05:00,5,0.12,0.24,0.68
2025-06-19 14:10:00,5,0.12,0.4,1.92
2025-06-19 14:15:00,5,0.16,0.44,1.5
2025-06-19 14:20:00,3,0.1,0.2,0.833333333333333
2025-06-19 14:30:00,5,0.06,0.08,0.28
2025-06-19 14:35:00,5,0.1,0.26,0.54
2025-06-19 14:40:00,5,0.12,0.24,0.56
2025-06-19 14:45:00,5,0.1,0.16,0.32
2025-06-19 14:50:00,5,0.12,0.24,0.58
2025-06-19 14:55:00,5,0.04,0.12,0.36
2025-06-19 15:00:00,5,0.16,0.48,1.68
2025-06-19 15:05:00,5,0.06,0.16,0.48
2025-06-19 15:10:00,5,0.06,0.14,0.3
2025-06-19 15:15:00,5,0.32,0.8,3.5
2025-06-19 15:20:00,5,0.6,1.76,8.22
2025-06-19 15:25:00,5,0.36,1,3.82
2025-06-19 15:30:00,5,0.12,0.3,0.78
2025-06-19 15:35:00,5,0.2,0.66,2.58
2025-06-19 15:40:00,5,0.22,0.58,2.12
2025-06-19 15:45:00,5,0.08,0.2,0.38
2025-06-19 15:50:00,5,0,0.04,0.12
2025-06-19 15:55:00,5,0.1,0.18,0.5
2025-06-19 16:00:00,5,0.16,0.38,1.44
2025-06-19 16:05:00,5,0.12,0.28,0.82
2025-06-19 16:10:00,5,0.1,0.18,0.5
