"fecha_hora","PM10","PM2_5","PM1_0"
2025-06-19 12:43:03,1.7,0.5,0.1
2025-06-19 12:44:03,2.9,0.8,0.1
2025-06-19 12:45:03,4.4,1.3,0.1
2025-06-19 12:46:03,1.9,0.6,0.1
2025-06-19 12:47:03,2.2,0.9,0.2
2025-06-19 12:48:03,1.5,0.8,0.2
2025-06-19 12:49:03,2.2,0.9,0.3
2025-06-19 12:50:03,3,1.3,0.4
2025-06-19 12:51:03,3.5,1.5,0.3
2025-06-19 12:52:03,9.8,2.4,0.4
2025-06-19 12:53:03,30.7,7.5,1.4
2025-06-19 12:54:03,15.6,4.5,1
2025-06-19 12:55:03,9.3,2.8,0.7
2025-06-19 12:56:03,5.3,2.1,0.6
2025-06-19 12:57:03,14.7,4.9,0.9
2025-06-19 12:58:03,7.6,2.6,0.5
2025-06-19 12:59:03,2.1,0.9,0.2
2025-06-19 13:00:03,3.1,1.2,0.3
2025-06-19 13:01:03,1.4,0.5,0.1
2025-06-19 13:02:03,1,0.6,0.2
2025-06-19 13:03:03,1.6,0.7,0.2
2025-06-19 13:04:03,0.7,0.5,0.2
2025-06-19 13:05:03,7.3,2.4,0.5
2025-06-19 13:06:03,9.8,2.7,0.6
2025-06-19 13:07:03,7.6,2.9,0.6
2025-06-19 13:08:03,10.7,3.6,0.7
2025-06-19 13:09:03,12.1,4.1,0.7
2025-06-19 13:10:03,6.5,2.4,0.7
2025-06-19 13:11:03,2.4,1.3,0.2
2025-06-19 13:12:03,1.4,0.7,0.1
2025-06-19 13:13:03,4.9,1.7,0.3
2025-06-19 13:14:03,8.7,2.9,0.5
2025-06-19 13:15:03,8.1,3.2,1.2
2025-06-19 13:16:03,6.8,3,1.5
2025-06-19 13:17:03,4,2.2,1.1
2025-06-19 13:18:03,7.3,2.6,1.2
2025-06-19 13:19:03,5.1,3.2,2
2025-06-19 13:20:03,5.4,2.9,1.9
2025-06-19 13:21:03,12.3,4.7,1.9
2025-06-19 13:22:03,6,3,1.5
2025-06-19 13:23:03,2.9,1.6,0.7
2025-06-19 13:24:03,1.5,1,0.4
2025-06-19 13:25:03,2.8,0.8,0.3
2025-06-19 13:26:03,5.7,1.9,0.5
2025-06-19 13:27:03,7.1,2.6,0.8
2025-06-19 13:28:03,6.5,2.4,0.7
2025-06-19 13:29:03,2.1,1.1,0.5
2025-06-19 13:30:03,4.1,1.5,0.4
2025-06-19 13:31:03,4.8,1.8,0.4
2025-06-19 13:32:03,1.1,0.8,0.3
2025-06-19 13:33:03,5.7,2.1,0.5
2025-06-19 13:34:03,3.5,1.5,0.4
2025-06-19 13:35:03,1.5,0.8,0.2
2025-06-19 13:36:03,0.8,0.5,0.2
2025-06-19 13:37:03,1.5,0.9,0.2
2025-06-19 13:38:03,4.1,1.4,0.3
2025-06-19 13:39:03,5.7,2,0.5
2025-06-19 13:40:03,7.8,2.2,0.5
2025-06-19 13:41:03,10.4,3.4,0.6
2025-06-19 13:42:03,3.9,1.2,0.3
2025-06-19 13:43:03,2.4,0.6,0.2
2025-06-19 13:44:03,1.2,0.6,0.1
2025-06-19 13:45:03,0.9,0.6,0.1
2025-06-19 13:46:03,0.7,0.4,0.1
2025-06-19 13:47:03,1.8,0.7,0.1
2025-06-19 13:48:03,1.7,0.7,0.1
2025-06-19 13:49:03,2.2,0.8,0.1
2025-06-19 13:50:03,4.8,1.6,0.2
2025-06-19 13:51:03,1.4,0.7,0.2
2025-06-19 13:52:03,1.9,0.9,0.3
2025-06-19 13:53:03,4,1.5,0.6
2025-06-19 13:54:03,5.2,2.3,0.5
2025-06-19 13:55:03,4.6,1.7,0.4
2025-06-19 13:56:03,4.9,2.3,0.5
2025-06-19 13:57:03,3.5,1.4,0.3
2025-06-19 13:58:03,5.2,1.5,0.3
2025-06-19 13:59:03,13.3,3.8,0.6
2025-06-19 14:00:03,7.8,2.5,0.5
2025-06-19 14:01:03,4.8,1.8,0.5
2025-06-19 14:02:03,2.5,1.2,0.5
2025-06-19 14:03:03,2.2,1.4,0.7
2025-06-19 14:04:03,0.9,0.7,0.5
2025-06-19 14:05:03,0.4,0.3,0.2
2025-06-19 14:06:03,1,0.6,0.2
2025-06-19 14:07:03,3,1.3,0.3
2025-06-19 14:08:03,2,1,0.2
2025-06-19 14:09:03,4.9,1.6,0.4
2025-06-19 14:10:03,7.8,2.3,0.4
2025-06-19 14:11:03,4.7,1.6,0.4
2025-06-19 14:12:03,4.4,1.8,0.5
2025-06-19 14:13:03,4.1,1.7,0.5
2025-06-19 14:14:03,3.5,1.3,0.3
2025-06-19 14:15:03,2.7,0.9,0.2
2025-06-19 14:16:03,3.5,1,0.2
2025-06-19 14:17:03,5.4,2,0.4
2025-06-19 14:18:03,8.3,3.2,0.7
2025-06-19 14:19:03,6.9,2.7,0.5
2025-06-19 14:20:03,4,1.4,0.3
2025-06-19 14:21:03,1.8,0.7,0.2
2025-06-19 14:22:03,2.5,1.1,0.2
2025-06-19 14:27:03,0.4,0.3,0.1
2025-06-19 14:28:03,0.7,0.5,0.1
2025-06-19 14:29:03,2.5,0.7,0.1
2025-06-19 14:30:03,2.6,1,0.2
2025-06-19 14:31:03,1,0.5,0.1
2025-06-19 14:32:03,0.7,0.3,0.1
2025-06-19 14:33:03,0.2,0.2,0.1
2025-06-19 14:34:03,0.3,0.2,0.1
2025-06-19 14:35:03,0.7,0.3,0.1
2025-06-19 14:36:03,1,0.5,0.2
2025-06-19 14:37:03,2,1.1,0.4
