"bloque_tiempo","MT_n","MT_PM1_0","MT_PM2_5","MT_PM10"
2025-06-19 12:45:00,5,0.18,0.9,2.44
2025-06-19 12:50:00,5,0.7,3.44,12.52
2025-06-19 12:55:00,5,0.58,2.66,7.8
2025-06-19 13:00:00,5,0.2,0.7,1.56
2025-06-19 13:05:00,5,0.62,3.14,9.5
2025-06-19 13:10:00,5,0.36,1.8,4.78
2025-06-19 13:15:00,5,1.4,2.84,6.26
2025-06-19 13:20:00,5,1.28,2.64,5.62
2025-06-19 13:25:00,5,0.56,1.76,4.84
2025-06-19 13:30:00,5,0.4,1.54,3.84
2025-06-19 13:35:00,5,0.28,1.12,2.72
2025-06-19 13:40:00,5,0.34,1.6,5.14
2025-06-19 13:45:00,5,0.1,0.64,1.46
2025-06-19 13:50:00,5,0.36,1.4,3.46
2025-06-19 13:55:00,5,0.42,2.14,6.3
2025-06-19 14:00:00,5,0.54,1.52,3.64
2025-06-19 14:05:00,5,0.26,0.96,2.26
2025-06-19 14:10:00,5,0.42,1.74,4.9
2025-06-19 14:15:00,5,0.4,1.96,5.36
2025-06-19 14:20:00,3,0.233333333333333,1.06666666666667,2.76666666666667
2025-06-19 14:25:00,3,0.1,0.5,1.2
2025-06-19 14:30:00,5,0.12,0.44,0.96
2025-06-19 14:35:00,5,0.32,0.92,1.92
2025-06-19 14:40:00,5,0.44,1.08,1.98
2025-06-19 14:45:00,5,0.4,0.86,1.44
2025-06-19 14:50:00,5,0.34,1.24,3.42
2025-06-19 14:55:00,5,0.18,0.7,1.46
2025-06-19 15:00:00,5,0.52,2.66,6.94
2025-06-19 15:05:00,5,0.28,1.22,2.9
2025-06-19 15:10:00,5,0.32,0.74,1.24
2025-06-19 15:15:00,5,0.88,2.86,7.82
2025-06-19 15:20:00,5,2.4,9.64,28.24
2025-06-19 15:25:00,5,1.46,5.56,15.96
2025-06-19 15:30:00,5,0.42,1.54,3.3
2025-06-19 15:35:00,5,0.66,3.12,9.14
2025-06-19 15:40:00,5,0.74,3.42,9.56
2025-06-19 15:45:00,5,0.22,1,2.2
2025-06-19 15:50:00,5,0.12,0.38,0.74
2025-06-19 15:55:00,5,0.26,0.74,1.42
2025-06-19 16:00:00,5,0.48,1.98,4.92
2025-06-19 16:05:00,5,0.4,1.54,3.9
2025-06-19 16:10:00,5,0.28,1.08,2.82
2025-06-19 16:15:00,4,0.15,0.525,0.9
