"tiempo","CETAM","MT","orden","diferencia","promedio","ajustado","residuo"
2025-06-19 12:45:00,0.3,2.44,1,2.14,1.37,1.37321002257951,1.06678997742049
2025-06-19 12:50:00,2.84,12.52,2,9.68,7.68,9.8750701766354,2.6449298233646
2025-06-19 12:55:00,2.1,7.8,3,5.7,4.95,7.39815028923328,0.401849710766719
2025-06-19 13:00:00,0.32,1.56,4,1.24,0.94,1.44015380332011,0.119846196679893
2025-06-19 13:05:00,2.7,9.5,5,6.8,6.1,9.4064637114512,0.0935362885487951
2025-06-19 13:10:00,1.38,4.78,6,3.4,3.08,4.98817418257177,-0.208174182571771
2025-06-19 13:15:00,2.2,6.26,7,4.06,4.23,7.73286919293627,-1.47286919293627
2025-06-19 13:20:00,2.06,5.62,8,3.56,3.84,7.26426272775208,-1.64426272775209
2025-06-19 13:25:00,1.64,4.84,9,3.2,3.24,5.85844333219954,-1.01844333219954
2025-06-19 13:30:00,0.9,3.84,10,2.94,2.37,3.38152344479743,0.458476555202567
2025-06-19 13:35:00,1.18,2.72,11,1.54,1.95,4.3187363751658,-1.5987363751658
2025-06-19 13:40:00,1.32,5.14,12,3.82,3.23,4.78734284034998,0.35265715965002
2025-06-19 13:45:00,0.4,1.46,13,1.06,0.93,1.7079289262825,-0.247928926282497
2025-06-19 13:50:00,0.94,3.46,14,2.52,2.2,3.51541100627863,-0.0554110062786276
2025-06-19 13:55:00,2,6.3,15,4.3,4.15,7.06343138553029,-0.763431385530293
2025-06-19 14:00:00,0.96,3.64,16,2.68,2.3,3.58235478701923,0.0576452129807749
2025-06-19 14:05:00,0.68,2.26,17,1.58,1.47,2.64514185665086,-0.385141856650861
2025-06-19 14:10:00,1.92,4.9,18,2.98,3.41,6.7956562625679,-1.8956562625679
2025-06-19 14:15:00,1.5,5.36,19,3.86,3.43,5.38983686701536,-0.0298368670153561
2025-06-19 14:20:00,0.833333333333333,2.76666666666667,20,1.93333333333334,1.8,3.15837750899544,-0.39171084232877
2025-06-19 14:30:00,0.28,0.96,21,0.68,0.62,1.30626624183891,-0.346266241838912
2025-06-19 14:35:00,0.54,1.92,22,1.38,1.23,2.17653539146668,-0.256535391466679
2025-06-19 14:40:00,0.56,1.98,23,1.42,1.27,2.24347917220728,-0.263479172207276
2025-06-19 14:45:00,0.32,1.44,24,1.12,0.88,1.44015380332011,-0.00015380332010706
2025-06-19 14:50:00,0.58,3.42,25,2.84,2,2.31042295294787,1.10957704705213
2025-06-19 14:55:00,0.36,1.46,26,1.1,0.91,1.5740413648013,-0.114041364801302
2025-06-19 15:00:00,1.68,6.94,27,5.26,4.31,5.99233089368073,0.947669106319267
2025-06-19 15:05:00,0.48,2.9,28,2.42,1.69,1.97570404924489,0.924295950755114
2025-06-19 15:10:00,0.3,1.24,29,0.94,0.77,1.37321002257951,-0.133210022579509
2025-06-19 15:15:00,3.5,7.82,30,4.32,5.66,12.0842149410751,-4.2642149410751
2025-06-19 15:20:00,8.22,28.24,31,20.02,18.23,27.8829471958561,0.357052804143893
2025-06-19 15:25:00,3.82,15.96,32,12.14,9.89,13.1553154329247,2.80468456707534
2025-06-19 15:30:00,0.78,3.3,33,2.52,2.04,2.97986076035385,0.320139239646151
2025-06-19 15:35:00,2.58,9.14,34,6.56,5.86,9.00480102700762,0.135198972992382
2025-06-19 15:40:00,2.12,9.56,35,7.44,5.84,7.46509406997388,2.09490593002612
2025-06-19 15:45:00,0.38,2.2,36,1.82,1.29,1.6409851455419,0.559014854458101
2025-06-19 15:50:00,0.12,0.74,37,0.62,0.43,0.770715995914132,-0.0307159959141315
2025-06-19 15:55:00,0.5,1.42,38,0.92,0.96,2.04264782998548,-0.622647829985484
2025-06-19 16:00:00,1.44,4.92,39,3.48,3.18,5.18900552479356,-0.269005524793564
2025-06-19 16:05:00,0.82,3.9,40,3.08,2.36,3.11374832183504,0.786251678164957
2025-06-19 16:10:00,0.5,2.82,41,2.32,1.66,2.04264782998548,0.777352170014516
