"tiempo","CETAM","MT","orden","diferencia","promedio","ajustado","residuo"
2025-06-19 12:45:00,0.06,0.18,1,0.12,0.12,0.195400433137182,-0.015400433137182
2025-06-19 12:50:00,0.3,0.7,2,0.4,0.5,0.817751186752127,-0.117751186752127
2025-06-19 12:55:00,0.26,0.58,3,0.32,0.42,0.714026061149637,-0.134026061149637
2025-06-19 13:00:00,0.12,0.2,4,0.08,0.16,0.350988121540918,-0.150988121540918
2025-06-19 13:05:00,0.32,0.62,5,0.3,0.47,0.869613749553373,-0.249613749553373
2025-06-19 13:10:00,0.24,0.36,6,0.12,0.3,0.662163498348391,-0.302163498348391
2025-06-19 13:15:00,0.74,1.4,7,0.66,1.07,1.95872756837953,-0.558727568379528
2025-06-19 13:20:00,0.48,1.28,8,0.8,0.88,1.28451425196334,-0.0045142519633364
2025-06-19 13:25:00,0.22,0.56,9,0.34,0.39,0.610300935547146,-0.0503009355471455
2025-06-19 13:30:00,0.22,0.4,10,0.18,0.31,0.610300935547146,-0.210300935547146
2025-06-19 13:35:00,0.12,0.28,11,0.16,0.2,0.350988121540918,-0.0709881215409183
2025-06-19 13:40:00,0.16,0.34,12,0.18,0.25,0.454713247143409,-0.114713247143409
2025-06-19 13:45:00,0.02,0.1,13,0.08,0.06,0.091675307534691,0.00832469246530896
2025-06-19 13:50:00,0.14,0.36,14,0.22,0.25,0.402850684342164,-0.0428506843421638
2025-06-19 13:55:00,0.18,0.42,15,0.24,0.3,0.506575809944655,-0.0865758099446547
2025-06-19 14:00:00,0.14,0.54,16,0.4,0.34,0.402850684342164,0.137149315657836
2025-06-19 14:05:00,0.12,0.26,17,0.14,0.19,0.350988121540918,-0.0909881215409183
2025-06-19 14:10:00,0.12,0.42,18,0.3,0.27,0.350988121540918,0.0690118784590817
2025-06-19 14:15:00,0.16,0.4,19,0.24,0.28,0.454713247143409,-0.0547132471434092
2025-06-19 14:20:00,0.1,0.233333333333333,20,0.133333333333333,0.166666666666667,0.299125558739673,-0.0657922254063399
2025-06-19 14:30:00,0.06,0.12,21,0.06,0.09,0.195400433137182,-0.075400433137182
2025-06-19 14:35:00,0.1,0.32,22,0.22,0.21,0.299125558739673,0.0208744412603271
2025-06-19 14:40:00,0.12,0.44,23,0.32,0.28,0.350988121540918,0.0890118784590817
2025-06-19 14:45:00,0.1,0.4,24,0.3,0.25,0.299125558739673,0.100874441260327
2025-06-19 14:50:00,0.12,0.34,25,0.22,0.23,0.350988121540918,-0.0109881215409183
2025-06-19 14:55:00,0.04,0.18,26,0.14,0.11,0.143537870335937,0.0364621296640634
2025-06-19 15:00:00,0.16,0.52,27,0.36,0.34,0.454713247143409,0.0652867528565908
2025-06-19 15:05:00,0.06,0.28,28,0.22,0.17,0.195400433137182,0.084599566862818
2025-06-19 15:10:00,0.06,0.32,29,0.26,0.19,0.195400433137182,0.124599566862818
2025-06-19 15:15:00,0.32,0.88,30,0.56,0.6,0.869613749553373,0.0103862504466271
2025-06-19 15:20:00,0.6,2.4,31,1.8,1.5,1.59568962877081,0.804310371229191
2025-06-19 15:25:00,0.36,1.46,32,1.1,0.91,0.973338875155864,0.486661124844136
2025-06-19 15:30:00,0.12,0.42,33,0.3,0.27,0.350988121540918,0.0690118784590817
2025-06-19 15:35:00,0.2,0.66,34,0.46,0.43,0.5584383727459,0.1015616272541
2025-06-19 15:40:00,0.22,0.74,35,0.52,0.48,0.610300935547146,0.129699064452854
2025-06-19 15:45:00,0.08,0.22,36,0.14,0.15,0.247262995938427,-0.0272629959384274
2025-06-19 15:50:00,0,0.12,37,0.12,0.06,0.0398127447334456,0.0801872552665544
2025-06-19 15:55:00,0.1,0.26,38,0.16,0.18,0.299125558739673,-0.0391255587396729
2025-06-19 16:00:00,0.16,0.48,39,0.32,0.32,0.454713247143409,0.0252867528565907
2025-06-19 16:05:00,0.12,0.4,40,0.28,0.26,0.350988121540918,0.0490118784590817
2025-06-19 16:10:00,0.1,0.28,41,0.18,0.19,0.299125558739673,-0.0191255587396729
